train/n_updates,train/value_loss,time/total_timesteps,train/policy_loss,rollout/ep_rew_mean,train/explained_variance,train/entropy_loss,train/learning_rate,time/iterations,time/time_elapsed,time/fps,rollout/ep_len_mean
99,1.603455901145935,20000,-1.2585036754608154,-32.6309014,-3.5762786865234375e-07,-1.525281310081482,0.0001,100,438,45,1000.0
199,2.0647456645965576,40000,-2.0127148628234863,-27.95807345,4.410743713378906e-06,-1.4612137079238892,0.0001,200,906,44,1000.0
299,1.905176043510437,60000,-0.09208454936742783,-23.275750666666667,-5.841255187988281e-06,-1.424476146697998,0.0001,300,1370,43,1000.0
399,1.0370513200759888,80000,-1.4492446184158325,-23.053648662500002,-5.960464477539062e-07,-1.3934097290039062,0.0001,400,1829,43,1000.0
499,4.613562107086182,100000,2.0616087913513184,-25.536868570000003,0.01996666193008423,-1.3299577236175537,0.0001,500,2281,43,996.43
599,1.1493972539901733,120000,-1.370650291442871,-24.64027231,-8.344650268554688e-07,-1.336507797241211,0.0001,600,2705,44,988.49
699,0.05201272293925285,140000,-0.2874701917171478,-32.40018627,-4.839897155761719e-05,-1.302337646484375,0.0001,700,3103,45,968.31
799,449.7952880859375,160000,-12.008197784423828,-48.76441880999999,0.07136917114257812,-1.2727669477462769,0.0001,800,3507,45,927.72
899,24.348833084106445,180000,4.509770393371582,-58.71036338000001,-2.872943878173828e-05,-1.3744747638702393,0.0001,900,3893,46,904.39
999,1.5209918022155762,200000,-0.022260798141360283,-55.84346772999999,8.702278137207031e-06,-1.2502533197402954,0.0001,1000,4290,46,912.77
1099,27.411333084106445,220000,5.826423645019531,-53.45100428000001,0.005305111408233643,-1.393393874168396,0.0001,1100,4683,46,906.6
1199,40.634765625,240000,7.998878479003906,-44.85101781,0.002817869186401367,-1.3928050994873047,0.0001,1200,5079,47,930.09
1299,22.966304779052734,260000,5.560209274291992,-30.29994909,0.03963750600814819,-1.352336049079895,0.0001,1300,5479,47,962.49
1399,23.13549041748047,280000,5.597468852996826,-19.592323680000003,-9.632110595703125e-05,-1.365517258644104,0.0001,1400,5873,47,981.77
1499,33.34983825683594,300000,5.85525369644165,-15.460334089999998,-1.5616416931152344e-05,-1.4077246189117432,0.0001,1500,6268,47,980.97
1599,0.02830222062766552,320000,-0.232375830411911,-16.84856424,-4.00543212890625e-05,-1.385670781135559,0.0001,1600,6661,48,996.5
1699,6.143979549407959,340000,0.9774825572967529,-16.403197289999998,0.001979827880859375,-1.3195340633392334,0.0001,1700,7048,48,996.63
1799,0.00021427970204968005,360000,-0.014936675317585468,-17.980230319999997,-0.001307845115661621,-1.1509888172149658,0.0001,1800,7440,48,992.92
1899,29.15215301513672,380000,6.176037311553955,-19.310594560000002,-1.3232231140136719e-05,-1.3604285717010498,0.0001,1900,7828,48,988.43
1999,6.151208400726318,400000,1.9488158226013184,-21.46371965,7.748603820800781e-06,-1.3164550065994263,0.0001,2000,8214,48,989.3
2099,17.20028305053711,420000,4.802491664886475,-18.84157599,6.496906280517578e-06,-1.3365854024887085,0.0001,2100,8604,48,991.8
2199,17.225746154785156,440000,3.0164058208465576,-18.44814893,0.0,-1.3738094568252563,0.0001,2200,8993,48,991.8
2299,2.317864418029785,460000,0.7502292990684509,-15.29006548,-9.5367431640625e-07,-1.3726643323898315,0.0001,2300,9381,49,995.51
2399,5.400856018066406,480000,2.4763002395629883,-14.93673693,-8.475780487060547e-05,-1.4367754459381104,0.0001,2400,9752,49,1000.0
2499,5.8398942947387695,500000,1.8750296831130981,-15.2094533,-4.2319297790527344e-05,-1.3944227695465088,0.0001,2500,10109,49,1000.0
2599,0.15027500689029694,520000,0.415990948677063,-17.85692408,-2.8297722339630127,-1.5339317321777344,0.0001,2600,10437,49,993.71
2699,18.816089630126953,540000,5.283107757568359,-22.057344980000007,-0.019123196601867676,-1.4096341133117676,0.0001,2700,10764,50,991.36
2799,32.487144470214844,560000,7.185490608215332,-23.736961950000005,7.408857345581055e-05,-1.3538119792938232,0.0001,2800,11086,50,991.36
2899,0.005180529784411192,580000,-0.09059730172157288,-26.36819938,2.980232238769531e-07,-1.3416895866394043,0.0001,2900,11406,50,987.52
2999,0.001107375486753881,600000,-0.039479900151491165,-33.553068890000006,-6.23464584350586e-05,-1.2075345516204834,0.0001,3000,11725,51,955.24
