train/entropy_loss,train/policy_loss,train/value_loss,train/explained_variance,time/fps,rollout/ep_len_mean,time/time_elapsed,rollout/ep_rew_mean,time/total_timesteps,train/learning_rate,train/n_updates,time/iterations
-1.1010862588882446,-3.5336453914642334,67.74224853515625,0.0026430487632751465,822,133.52173913043478,4,-269.29849565217387,4000,0.001,99,100
-0.9931169748306274,-0.6216128468513489,13.132354736328125,-0.0017043352127075195,882,155.12765957446808,9,-231.7414010425532,8000,0.001,199,200
-0.8216267824172974,-0.45499730110168457,20.859813690185547,-0.08341920375823975,855,164.13636363636363,14,-189.6484767727273,12000,0.001,299,300
-0.7691847681999207,-1.2014518976211548,50.3108024597168,0.6695751845836639,808,178.9375,19,-172.8022722,16000,0.001,399,400
-0.8665270209312439,-6.873446941375732,1182.6214599609375,-0.7151410579681396,801,195.86458333333334,24,-152.37686161458336,20000,0.001,499,500
-0.7333523631095886,1.5285156965255737,36.80176544189453,0.010631024837493896,769,211.36,31,-146.19358459,24000,0.001,599,600
-0.6250397562980652,2.6780669689178467,73.1251220703125,0.7501780837774277,766,241.03,36,-123.33823165,28000,0.001,699,700
-0.5702184438705444,-0.023281468078494072,44.64126968383789,0.8871199116110802,756,251.22,42,-112.90018473,32000,0.001,799,800
-0.6156782507896423,0.29433196783065796,34.79220199584961,0.9543452113866806,756,270.3,47,-106.88126419999998,36000,0.001,899,900
-0.746390163898468,-0.16341601312160492,4.223521709442139,-0.23059391975402832,743,272.13,53,-112.71092624999997,40000,0.001,999,1000
-0.567886471748352,1.8085812330245972,350.8824462890625,0.08954334259033203,735,307.05,59,-106.21599619,44000,0.001,1099,1100
-0.6168778538703918,2.384373903274536,27.791990280151367,0.9202979281544685,739,306.84,64,-105.82446848,48000,0.001,1199,1200
-0.658707320690155,0.6554026007652283,44.36945343017578,0.8727438598871231,727,316.38,71,-102.27369562,52000,0.001,1299,1300
-0.6740571856498718,2.4444267749786377,43.049251556396484,0.9327231049537659,718,344.52,77,-95.11022958,56000,0.001,1399,1400
-0.7798272371292114,0.3222479820251465,29.405179977416992,0.9236813932657242,711,334.74,84,-84.65154844,60000,0.001,1499,1500
-0.7415481805801392,1.2699238061904907,28.897287368774414,0.8867683336138725,706,345.95,90,-75.5676091,64000,0.001,1599,1600
-0.6803366541862488,-0.5391592979431152,29.99893569946289,0.9083753526210785,704,351.48,96,-59.60004012000001,68000,0.001,1699,1700
-0.5261551141738892,1.642863154411316,118.97747039794922,0.49848800897598267,702,362.45,102,-62.722907639999995,72000,0.001,1799,1800
-0.4726143777370453,1.6669788360595703,1779.5250244140625,0.31919723749160767,696,383.61,109,-57.67518423999999,76000,0.001,1899,1900
-0.5202361941337585,-0.9975433349609375,27.712915420532227,0.8395698964595795,691,409.69,115,-40.42531566,80000,0.001,1999,2000
-0.39260199666023254,-0.20643162727355957,14.208525657653809,0.9474755078554153,682,411.46,123,-37.70478716,84000,0.001,2099,2100
-0.48588839173316956,-0.8437437415122986,10.200736045837402,0.936334989964962,682,418.8,128,-24.345119529999998,88000,0.001,2199,2200
-0.5583712458610535,-0.09559519588947296,19.325645446777344,0.5248753428459167,682,413.76,134,-14.349309169999996,92000,0.001,2299,2300
-0.5328903198242188,-1.476515531539917,1143.2435302734375,0.21630346775054932,680,395.55,141,-10.892564299999998,96000,0.001,2399,2400
-0.3844553530216217,0.16394641995429993,4.878480911254883,0.9902861602604389,675,395.78,147,-7.408438509999999,100000,0.001,2499,2500
