rollout/ep_rew_mean,rollout/exploration_rate,train/n_updates,time/time_elapsed,train/loss,time/total_timesteps,train/learning_rate,time/fps,rollout/ep_len_mean,time/episodes
-284.04364150000004,0.8621600000000003,82,0,1.0278023481369019,430,0.001,466,107.5,4
-176.02726237500002,0.8240559999999998,190,1,2.4642138481140137,863,0.001,506,107.875,8
-195.39480675000001,0.7806719999999999,313,2,1.1904315948486328,1356,0.001,522,113.0,12
-184.9068079375,0.7362319999999999,440,3,1.9520211219787598,1861,0.001,522,116.3125,16
-176.6942594,0.6946079999999998,558,4,0.26441749930381775,2334,0.001,517,116.7,20
-165.53492283333333,0.6404000000000003,712,5,0.3523094654083252,2950,0.001,514,122.91666666666667,24
-156.21516753571427,0.5846959999999998,870,7,0.5994793176651001,3583,0.001,509,127.96428571428571,28
-149.81611578125,0.5198399999999999,1054,8,0.6416484117507935,4320,0.001,502,135.0,32
-140.23290152777778,0.44961599999999996,1254,10,0.8566715121269226,5118,0.001,493,142.16666666666666,36
-129.0901018,0.2224000000000005,1899,19,1.0077414512634277,7700,0.001,401,192.5,40
-120.70597281818185,0.1461039999999999,2116,21,0.9507145881652832,8567,0.001,394,194.70454545454547,44
-126.70076841666666,0.05344000000000049,2379,25,2.3378710746765137,9620,0.001,384,200.41666666666666,48
-131.33677188461536,0.02,2666,28,2.099297523498535,10767,0.001,372,207.05769230769232,52
-127.98597857142856,0.02,2894,31,0.5693280696868896,11679,0.001,366,208.55357142857142,56
-119.98781373333333,0.02,3208,36,3.0209271907806396,12934,0.001,356,215.56666666666666,60
-115.206802546875,0.02,3489,40,0.5668904185295105,14058,0.001,349,219.65625,64
-110.37173692647059,0.02,4022,48,0.3924686312675476,16189,0.001,334,238.0735294117647,68
-120.23413758333332,0.02,4244,51,0.4683377742767334,17079,0.001,333,237.20833333333334,72
-123.16870517105262,0.02,4485,54,0.7998641133308411,18044,0.001,330,237.42105263157896,76
-122.35818227499999,0.02,4762,58,0.8954480886459351,19152,0.001,328,239.4,80
-122.86564016666667,0.02,5038,61,0.9603856801986694,20255,0.001,326,241.13095238095238,84
-119.31084886363637,0.02,5421,67,0.4519129693508148,21786,0.001,323,247.5681818181818,88
-120.81998494565218,0.02,5738,71,0.6014342904090881,23056,0.001,321,250.6086956521739,92
-114.59915374999999,0.02,6187,78,0.4096645414829254,24850,0.001,316,258.8541666666667,96
-112.88502027999999,0.02,6654,85,0.8450398445129395,26718,0.001,311,267.18,100
-109.95006551,0.02,7003,90,1.4536329507827759,28113,0.001,309,276.83,104
-110.56194625000003,0.02,7507,98,0.7822280526161194,30129,0.001,304,292.66,108
-99.62249296,0.02,7867,104,0.6381862163543701,31570,0.001,303,302.14,112
-95.61123058999999,0.02,8243,109,0.2569553256034851,33074,0.001,301,312.13,116
-90.45323573,0.02,8618,115,0.38916146755218506,34574,0.001,300,322.4,120
-92.89542248000002,0.02,8884,118,0.7609420418739319,35637,0.001,300,326.87,124
-88.30605220000002,0.02,9413,126,0.1560034155845642,37753,0.001,297,341.7,128
-90.75916886,0.02,9669,129,1.661618947982788,38779,0.001,298,344.59,132
-86.22104838,0.02,10046,135,0.600212574005127,40285,0.001,298,351.67,136
-86.52131005999999,0.02,10585,143,0.561126172542572,42442,0.001,294,347.42,140
-87.28409292,0.02,10890,147,0.7700693607330322,43664,0.001,295,350.97,144
-80.08307914999999,0.02,11426,155,0.6111757755279541,45808,0.001,294,361.88,148
-70.37479864,0.02,12048,166,0.5358340740203857,48296,0.001,290,375.29,152
-66.41780793000001,0.02,12641,174,0.9106610417366028,50665,0.001,289,389.86,156
-67.44955575,0.02,13205,184,0.3352915048599243,52921,0.001,287,399.87,160
-65.02646904999999,0.02,13850,194,0.46922746300697327,55504,0.001,285,414.46,164
-67.83012158000001,0.02,14514,205,0.22118456661701202,58160,0.001,283,419.71,168
-51.37865278,0.02,15125,213,0.2758373022079468,60604,0.001,283,435.25,172
-48.73641206,0.02,15775,224,0.3614101707935333,63203,0.001,282,451.59,176
-48.86576014,0.02,16719,239,0.3251284956932068,66979,0.001,279,478.27,180
-44.85511936000001,0.02,17568,255,0.33415406942367554,70373,0.001,275,501.18,184
-47.482961490000015,0.02,18568,271,0.26496613025665283,74373,0.001,273,525.87,188
-44.67952073000001,0.02,19568,287,0.3665478229522705,78373,0.001,272,553.17,192
-49.68771610000001,0.02,20568,303,0.2850486934185028,82373,0.001,271,575.23,196
-49.51004502,0.02,21338,316,0.37064558267593384,85453,0.001,269,587.35,200
-44.031931650000004,0.02,22338,334,0.2432396113872528,89453,0.001,267,613.4,204
-43.20338348,0.02,23338,350,0.29570209980010986,93453,0.001,266,633.24,208
-49.44763986,0.02,24116,362,0.2620852589607239,96566,0.001,266,649.96,212
